Z,N2,H2,OH,H2O,O2,OH*,NH2,NH3,NO,lambda,mu,T,rho,ProgressVariable,ProdRateProgressVariable,D,SquareProgVar,ProgVarProdRate
3.842464e-01,7.274286e-01,4.394568e-03,1.065057e-07,7.031998e-02,1.408609e-01,1.085681e-19,5.685593e-06,5.594119e-02,1.906487e-04,8.344121e-02,4.179414e-05,9.953473e+02,3.079539e-01,7.031998e-02,9.738928e-02,1.357156e-04,4.944900e-03,6.848412e-03
3.874032e-01,7.270860e-01,4.438993e-03,1.169195e-07,7.078964e-02,1.402042e-01,1.350770e-19,6.244686e-06,5.642170e-02,1.931896e-04,8.383593e-02,4.188298e-05,9.986897e+02,3.065859e-01,7.078964e-02,1.075817e-01,1.366109e-04,5.011173e-03,7.615670e-03
3.905277e-01,7.267451e-01,4.483983e-03,1.279418e-07,7.124173e-02,1.395657e-01,1.666215e-19,6.838059e-06,5.689965e-02,1.955755e-04,8.422132e-02,4.196704e-05,1.001867e+03,3.052798e-01,7.124173e-02,1.184501e-01,1.374707e-04,5.075384e-03,8.438590e-03
3.936339e-01,7.264042e-01,4.529816e-03,1.395597e-07,7.167728e-02,1.389433e-01,2.038271e-19,7.465215e-06,5.737729e-02,1.978158e-04,8.459828e-02,4.204649e-05,1.004885e+03,3.040310e-01,7.167728e-02,1.299969e-01,1.382967e-04,5.137632e-03,9.317824e-03
3.967320e-01,7.260621e-01,4.576737e-03,1.517286e-07,7.209656e-02,1.383362e-01,2.472411e-19,8.123977e-06,5.785641e-02,1.999172e-04,8.496624e-02,4.212132e-05,1.007745e+03,3.028368e-01,7.209656e-02,1.421956e-01,1.390892e-04,5.197914e-03,1.025181e-02
3.998283e-01,7.257177e-01,4.624954e-03,1.643619e-07,7.249912e-02,1.377441e-01,2.972331e-19,8.809934e-06,5.833824e-02,2.018842e-04,8.532532e-02,4.219139e-05,1.010440e+03,3.016971e-01,7.249912e-02,1.549804e-01,1.398469e-04,5.256122e-03,1.123594e-02
4.029289e-01,7.253704e-01,4.674680e-03,1.773362e-07,7.288420e-02,1.371674e-01,3.539293e-19,9.516689e-06,5.882395e-02,2.037216e-04,8.567542e-02,4.225646e-05,1.012965e+03,3.006122e-01,7.288420e-02,1.682502e-01,1.405680e-04,5.312107e-03,1.226278e-02
4.060446e-01,7.250186e-01,4.726233e-03,1.905120e-07,7.325148e-02,1.366053e-01,4.172365e-19,1.023704e-05,5.931556e-02,2.054373e-04,8.601693e-02,4.231638e-05,1.015312e+03,2.995815e-01,7.325148e-02,1.818902e-01,1.412516e-04,5.365779e-03,1.332373e-02
4.091989e-01,7.246594e-01,4.780172e-03,2.037570e-07,7.360156e-02,1.360556e-01,4.869284e-19,1.096423e-05,5.981713e-02,2.070445e-04,8.635131e-02,4.237106e-05,1.017482e+03,2.986015e-01,7.360156e-02,1.957967e-01,1.418983e-04,5.417190e-03,1.441094e-02
4.124302e-01,7.242880e-01,4.837395e-03,2.169429e-07,7.393579e-02,1.355142e-01,5.626590e-19,1.169194e-05,6.033529e-02,2.085607e-04,8.668115e-02,4.242046e-05,1.019474e+03,2.976667e-01,7.393579e-02,2.098793e-01,1.425099e-04,5.466501e-03,1.551759e-02
